2026-08-22 15:36:06,044 | INFO | hr_assistant.evaluation | Creating dataset 'hr-policy-qna' with 10 example(s)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\runnables\base.py", line 6002, in invoke
    return self.bound.invoke(
           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\language_models\chat_models.py", line 476, in invoke
    self.generate_prompt(
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\language_models\chat_models.py", line 1865, in generate_prompt
    return self.generate(prompt_messages, stop=stop, callbacks=callbacks, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\language_models\chat_models.py", line 1672, in generate
    self._generate_with_cache(
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\language_models\chat_models.py", line 2010, in _generate_with_cache
    result = self._generate(
             ^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_openai\chat_models\base.py", line 1752, in _generate
    _handle_openai_api_error(e)
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_openai\chat_models\base.py", line 1724, in _generate
    self.root_client.chat.completions.with_raw_response.parse(**payload)
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\openai\_legacy_response.py", line 369, in wrapped
    return cast(LegacyAPIResponse[R], func(*args, **kwargs))
                                      ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\openai\resources\chat\completions\completions.py", line 193, in parse
    return self._post(
           ^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\openai\_base_client.py", line 1382, in post
    return cast(ResponseT, self.request(cast_to, opts, stream=stream, stream_cls=stream_cls))
                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\openai\_base_client.py", line 1155, in request
    raise self._make_status_error_from_response(err.response) from None
openai.RateLimitError: Error code: 429 - {'error': {'message': 'groq error: Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kes0954nf57brkknfdg21n6a` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 6607, Requested 1431. Please try again in 285ms. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}, 'provider': 'groq'}
2026-08-22 15:38:44,313 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-08-22 15:38:44,314 | INFO | openai._base_client | Retrying request to /chat/completions in 1.000000 seconds
2026-08-22 15:38:46,063 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-22 15:38:46,071 | INFO | hr_assistant.pipeline | User question: What is the notice period during probation?
2026-08-22 15:38:46,318 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-22 15:38:46,354 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-08-22 15:38:46,355 | INFO | openai._base_client | Retrying request to /chat/completions in 1.000000 seconds
2026-08-22 15:38:47,389 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-08-22 15:38:47,390 | INFO | openai._base_client | Retrying request to /chat/completions in 1.000000 seconds
2026-08-22 15:38:48,422 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-08-22 15:38:48,525 | ERROR | langsmith.evaluation._runner | Error running target function: Error code: 429 - {'error': {'message': 'groq error: Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kes0954nf57brkknfdg21n6a` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 7218, Requested 897. Please try again in 862.5ms. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}, 'provider': 'groq'}
Traceback (most recent call last):
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langsmith\evaluation\_runner.py", line 1976, in _forward
    fn(*args, langsmith_extra=langsmith_extra)
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langsmith\run_helpers.py", line 777, in wrapper
    function_result = run_container["context"].run(
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\hr_assistant\evaluation.py", line 119, in target
    answer = ask(agent, inputs["question"])
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\hr_assistant\pipeline.py", line 79, in ask
    response = agent.invoke({"messages": [{"role": "user", "content": question}]})
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langgraph\pregel\main.py", line 3913, in invoke
    for chunk in self.stream(
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langgraph\pregel\main.py", line 2967, in stream
    for _ in runner.tick(
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langgraph\pregel\_runner.py", line 207, in tick
    run_with_retry(
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langgraph\pregel\_retry.py", line 617, in run_with_retry
    return task.proc.invoke(task.input, config)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langgraph\_internal\_runnable.py", line 684, in invoke
    input = context.run(step.invoke, input, config, **kwargs)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langgraph\_internal\_runnable.py", line 426, in invoke
    ret = self.func(*args, **kwargs)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain\agents\factory.py", line 1447, in model_node
    model_response = _execute_model_sync(request)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain\agents\factory.py", line 1419, in _execute_model_sync
    output = model_.invoke(messages)
             ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\runnables\base.py", line 6002, in invoke
    return self.bound.invoke(
           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\language_models\chat_models.py", line 476, in invoke
    self.generate_prompt(
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\language_models\chat_models.py", line 1865, in generate_prompt
    return self.generate(prompt_messages, stop=stop, callbacks=callbacks, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\language_models\chat_models.py", line 1672, in generate
    self._generate_with_cache(
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_core\language_models\chat_models.py", line 2010, in _generate_with_cache
    result = self._generate(
             ^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_openai\chat_models\base.py", line 1752, in _generate
    _handle_openai_api_error(e)
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langchain_openai\chat_models\base.py", line 1747, in _generate
    raw_response = self.client.with_raw_response.create(**payload)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\openai\_legacy_response.py", line 369, in wrapped
    return cast(LegacyAPIResponse[R], func(*args, **kwargs))
                                      ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\openai\_utils\_utils.py", line 298, in wrapper
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\openai\resources\chat\completions\completions.py", line 1296, in create
    return self._post(
           ^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\openai\_base_client.py", line 1382, in post
    return cast(ResponseT, self.request(cast_to, opts, stream=stream, stream_cls=stream_cls))
                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\openai\_base_client.py", line 1155, in request
    raise self._make_status_error_from_response(err.response) from None
openai.RateLimitError: Error code: 429 - {'error': {'message': 'groq error: Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kes0954nf57brkknfdg21n6a` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 7218, Requested 897. Please try again in 862.5ms. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}, 'provider': 'groq'}
During task with name 'model' and id '5a6c67ed-ce94-4a62-e78d-eadf701bd8eb'
2026-08-22 15:38:48,563 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-08-22 15:38:48,564 | INFO | openai._base_client | Retrying request to /chat/completions in 1.000000 seconds
2026-08-22 15:38:49,595 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-08-22 15:38:49,596 | INFO | openai._base_client | Retrying request to /chat/completions in 1.000000 seconds
2026-08-22 15:38:51,393 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-22 15:38:51,401 | ERROR | langsmith.evaluation._runner | Error running evaluator <DynamicRunEvaluator groundedness_evaluator> on run 01a028f1-bbf7-7b50-a655-66444d17df14: KeyError('answer')
Traceback (most recent call last):
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langsmith\evaluation\_runner.py", line 1672, in _run_evaluators
    evaluator_response = evaluator.evaluate_run(  # type: ignore[call-arg]
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langsmith\evaluation\evaluator.py", line 370, in evaluate_run
    result = self.func(
             ^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langsmith\run_helpers.py", line 777, in wrapper
    function_result = run_container["context"].run(
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\basicragenv\Lib\site-packages\langsmith\evaluation\evaluator.py", line 791, in wrapper
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\djadh\Downloads\WILLLSSSSSS\01 BASIC RAG\hr_assistant\evaluation.py", line 139, in groundedness_evaluator
    return groundedness_judge(outputs={"answer": outputs["answer"]}, context=outputs["context"])
                                                 ~~~~~~~^^^^^^^^^^
KeyError: 'answer'
